round_number,tick,user_steamid,user_name,weapon,is_firearm_shot,silenced
1,1804,76561199068251294,prosto bo$$,weapon_knife,False,False
1,1861,76561199068251294,prosto bo$$,weapon_knife,False,False
1,1916,76561199068251294,prosto bo$$,weapon_knife,False,False
1,1994,76561199068251294,prosto bo$$,weapon_knife,False,False
1,2044,76561199068251294,prosto bo$$,weapon_knife,False,False
1,2099,76561199052717313,Worfy,weapon_flashbang,False,False
1,2127,76561198171814417,Faat,weapon_flashbang,False,False
1,2187,76561198274174345,zig,weapon_flashbang,False,False
1,2396,76561199068251294,prosto bo$$,weapon_incgrenade,False,False
1,2571,76561199433997570,Simple Dimple skins.army,weapon_usp_silencer,True,True
1,2578,76561198171814417,Faat,weapon_glock,True,False
1,2587,76561199433997570,Simple Dimple skins.army,weapon_usp_silencer,True,True
1,2591,76561198171814417,Faat,weapon_glock,True,False
1,2601,76561199433997570,Simple Dimple skins.army,weapon_usp_silencer,True,True
1,2603,76561198171814417,Faat,weapon_glock,True,False
1,2612,76561199433997570,Simple Dimple skins.army,weapon_usp_silencer,True,True
1,2613,76561198171814417,Faat,weapon_glock,True,False
1,2623,76561198171814417,Faat,weapon_glock,True,False
1,2625,76561199433997570,Simple Dimple skins.army,weapon_usp_silencer,True,True
1,2636,76561198171814417,Faat,weapon_glock,True,False
1,2639,76561199433997570,Simple Dimple skins.army,weapon_usp_silencer,True,True
1,2655,76561199433997570,Simple Dimple skins.army,weapon_usp_silencer,True,True
1,2663,76561199557907229,shawty#)$@,weapon_knife,False,False
1,2689,76561199557907229,shawty#)$@,weapon_knife,False,False
1,2715,76561199557907229,shawty#)$@,weapon_knife,False,False
1,2733,76561199433997570,Simple Dimple skins.army,weapon_usp_silencer,True,True
1,2740,76561199557907229,shawty#)$@,weapon_knife,False,False
1,2741,76561199052717313,Worfy,weapon_glock,True,False
1,2751,76561199052717313,Worfy,weapon_glock,True,False
1,2753,76561199433997570,Simple Dimple skins.army,weapon_usp_silencer,True,True
1,2761,76561199052717313,Worfy,weapon_glock,True,False
1,2765,76561199068251294,prosto bo$$,weapon_usp_silencer,True,True
1,2766,76561199557907229,shawty#)$@,weapon_knife,False,False
1,2770,76561199052717313,Worfy,weapon_glock,True,False
1,2771,76561199433997570,Simple Dimple skins.army,weapon_usp_silencer,True,True
1,2780,76561199052717313,Worfy,weapon_glock,True,False
1,2790,76561199052717313,Worfy,weapon_glock,True,False
1,2791,76561199557907229,shawty#)$@,weapon_knife,False,False
1,2799,76561199052717313,Worfy,weapon_glock,True,False
1,2802,76561199826895670,RME | Пацан,weapon_knife_canis,False,False
1,2809,76561199052717313,Worfy,weapon_glock,True,False
1,2817,76561199557907229,shawty#)$@,weapon_knife,False,False
1,2827,76561199826895670,RME | Пацан,weapon_knife_canis,False,False
1,2834,76561199052717313,Worfy,weapon_glock,True,False
1,2842,76561199068251294,prosto bo$$,weapon_usp_silencer,True,True
1,2843,76561199557907229,shawty#)$@,weapon_knife,False,False
1,2847,76561199433997570,Simple Dimple skins.army,weapon_usp_silencer,True,True
1,2848,76561198274174345,zig,weapon_glock,True,False
1,2850,76561198049602148,Moon,weapon_glock,True,False
1,2852,76561199068251294,prosto bo$$,weapon_usp_silencer,True,True
1,2853,76561199052717313,Worfy,weapon_glock,True,False
1,2860,76561198274174345,zig,weapon_glock,True,False
1,2867,76561199068251294,prosto bo$$,weapon_usp_silencer,True,True
1,2868,76561199052717313,Worfy,weapon_glock,True,False
1,2874,76561198274174345,zig,weapon_glock,True,False
1,2878,76561199068251294,prosto bo$$,weapon_usp_silencer,True,True
1,2883,76561199052717313,Worfy,weapon_glock,True,False
1,2891,76561198274174345,zig,weapon_glock,True,False
1,2892,76561199052717313,Worfy,weapon_glock,True,False
1,2894,76561199068251294,prosto bo$$,weapon_usp_silencer,True,True
1,2904,76561198274174345,zig,weapon_glock,True,False
1,2905,76561199052717313,Worfy,weapon_glock,True,False
1,2915,76561199068251294,prosto bo$$,weapon_usp_silencer,True,True
1,2920,76561198274174345,zig,weapon_glock,True,False
1,2933,76561199068251294,prosto bo$$,weapon_usp_silencer,True,True
1,2937,76561198274174345,zig,weapon_glock,True,False
1,2950,76561198049602148,Moon,weapon_glock,True,False
1,2952,76561198274174345,zig,weapon_glock,True,False
