silenced,tick,user_name,user_steamid,weapon
False,1804,prosto bo$$,76561199068251294,weapon_knife
False,1861,prosto bo$$,76561199068251294,weapon_knife
False,1916,prosto bo$$,76561199068251294,weapon_knife
False,1994,prosto bo$$,76561199068251294,weapon_knife
False,2044,prosto bo$$,76561199068251294,weapon_knife
False,2099,Worfy,76561199052717313,weapon_flashbang
False,2127,Faat,76561198171814417,weapon_flashbang
False,2187,zig,76561198274174345,weapon_flashbang
False,2396,prosto bo$$,76561199068251294,weapon_incgrenade
True,2571,Simple Dimple skins.army,76561199433997570,weapon_usp_silencer
False,2578,Faat,76561198171814417,weapon_glock
True,2587,Simple Dimple skins.army,76561199433997570,weapon_usp_silencer
False,2591,Faat,76561198171814417,weapon_glock
True,2601,Simple Dimple skins.army,76561199433997570,weapon_usp_silencer
False,2603,Faat,76561198171814417,weapon_glock
True,2612,Simple Dimple skins.army,76561199433997570,weapon_usp_silencer
False,2613,Faat,76561198171814417,weapon_glock
False,2623,Faat,76561198171814417,weapon_glock
True,2625,Simple Dimple skins.army,76561199433997570,weapon_usp_silencer
False,2636,Faat,76561198171814417,weapon_glock
True,2639,Simple Dimple skins.army,76561199433997570,weapon_usp_silencer
True,2655,Simple Dimple skins.army,76561199433997570,weapon_usp_silencer
False,2663,shawty#)$@,76561199557907229,weapon_knife
False,2689,shawty#)$@,76561199557907229,weapon_knife
False,2715,shawty#)$@,76561199557907229,weapon_knife
True,2733,Simple Dimple skins.army,76561199433997570,weapon_usp_silencer
False,2740,shawty#)$@,76561199557907229,weapon_knife
False,2741,Worfy,76561199052717313,weapon_glock
False,2751,Worfy,76561199052717313,weapon_glock
True,2753,Simple Dimple skins.army,76561199433997570,weapon_usp_silencer
False,2761,Worfy,76561199052717313,weapon_glock
True,2765,prosto bo$$,76561199068251294,weapon_usp_silencer
False,2766,shawty#)$@,76561199557907229,weapon_knife
False,2770,Worfy,76561199052717313,weapon_glock
True,2771,Simple Dimple skins.army,76561199433997570,weapon_usp_silencer
False,2780,Worfy,76561199052717313,weapon_glock
False,2790,Worfy,76561199052717313,weapon_glock
False,2791,shawty#)$@,76561199557907229,weapon_knife
False,2799,Worfy,76561199052717313,weapon_glock
False,2802,RME | Пацан,76561199826895670,weapon_knife_canis
False,2809,Worfy,76561199052717313,weapon_glock
False,2817,shawty#)$@,76561199557907229,weapon_knife
False,2827,RME | Пацан,76561199826895670,weapon_knife_canis
False,2834,Worfy,76561199052717313,weapon_glock
True,2842,prosto bo$$,76561199068251294,weapon_usp_silencer
False,2843,shawty#)$@,76561199557907229,weapon_knife
True,2847,Simple Dimple skins.army,76561199433997570,weapon_usp_silencer
False,2848,zig,76561198274174345,weapon_glock
False,2850,Moon,76561198049602148,weapon_glock
True,2852,prosto bo$$,76561199068251294,weapon_usp_silencer
False,2853,Worfy,76561199052717313,weapon_glock
False,2860,zig,76561198274174345,weapon_glock
True,2867,prosto bo$$,76561199068251294,weapon_usp_silencer
False,2868,Worfy,76561199052717313,weapon_glock
False,2874,zig,76561198274174345,weapon_glock
True,2878,prosto bo$$,76561199068251294,weapon_usp_silencer
False,2883,Worfy,76561199052717313,weapon_glock
False,2891,zig,76561198274174345,weapon_glock
False,2892,Worfy,76561199052717313,weapon_glock
True,2894,prosto bo$$,76561199068251294,weapon_usp_silencer
False,2904,zig,76561198274174345,weapon_glock
False,2905,Worfy,76561199052717313,weapon_glock
True,2915,prosto bo$$,76561199068251294,weapon_usp_silencer
False,2920,zig,76561198274174345,weapon_glock
True,2933,prosto bo$$,76561199068251294,weapon_usp_silencer
False,2937,zig,76561198274174345,weapon_glock
False,2950,Moon,76561198049602148,weapon_glock
False,2952,zig,76561198274174345,weapon_glock
False,2968,Moon,76561198049602148,weapon_glock
True,2977,Simple Dimple skins.army,76561199433997570,weapon_usp_silencer
False,2982,Moon,76561198049602148,weapon_glock
False,3010,Moon,76561198049602148,weapon_glock
False,3027,Moon,76561198049602148,weapon_glock
False,3043,frees.tyler,76561198002613044,weapon_glock
False,3051,Wybaczam.oficjalnie skins.army,76561199256543526,weapon_knife
False,3055,frees.tyler,76561198002613044,weapon_glock
False,3154,frees.tyler,76561198002613044,weapon_hegrenade
False,3285,shawty#)$@,76561199557907229,weapon_p250
False,3307,Moon,76561198049602148,weapon_glock
False,3487,Moon,76561198049602148,weapon_glock
False,3505,shawty#)$@,76561199557907229,weapon_p250
False,3551,shawty#)$@,76561199557907229,weapon_p250
False,3564,zig,76561198274174345,weapon_glock
False,3585,zig,76561198274174345,weapon_glock
False,3614,zig,76561198274174345,weapon_glock
False,3626,shawty#)$@,76561199557907229,weapon_p250
False,3635,zig,76561198274174345,weapon_glock
False,3648,frees.tyler,76561198002613044,weapon_glock
False,3652,zig,76561198274174345,weapon_glock
False,3653,shawty#)$@,76561199557907229,weapon_p250
False,3664,frees.tyler,76561198002613044,weapon_glock
False,3669,zig,76561198274174345,weapon_glock
False,3669,Worfy,76561199052717313,weapon_glock
False,3709,Worfy,76561199052717313,weapon_glock
